Customer ID,Age,Gender,Category,Purchase Amount (USD),Size,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,,Male,Clothing,53.0,L,Winter,3.1,Express,Yes,14,Venmo,Fortnightly
2,19.0,Male,Clothing,64.0,L,Winter,3.1,Express,Yes,2,Cash,Fortnightly
3,50.0,,Clothing,73.0,S,Spring,3.1,Free Shipping,Yes,23,Credit Card,Weekly
4,21.0,Male,Footwear,90.0,M,Spring,3.5,Next Day Air,Yes,49,PayPal,Weekly
5,45.0,Male,Clothing,49.0,M,Spring,,Free Shipping,Yes,31,PayPal,Annually
6,46.0,Male,Footwear,20.0,M,Summer,,Standard,Yes,14,Venmo,Weekly
7,63.0,Male,Clothing,85.0,M,Fall,3.2,Free Shipping,Yes,49,Cash,Quarterly
8,27.0,Male,Clothing,,L,Winter,3.2,Free Shipping,Yes,19,Credit Card,Weekly
9,,Male,Outerwear,,L,Summer,2.6,Express,Yes,8,Venmo,Annually
10,57.0,Male,Accessories,,M,Spring,4.8,2-Day Shipping,Yes,4,Cash,Quarterly
11,,Male,Footwear,34.0,L,Fall,4.1,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly
12,30.0,Male,Clothing,68.0,S,Winter,4.9,Store Pickup,Yes,10,Bank Transfer,Fortnightly
13,61.0,Male,Outerwear,72.0,M,Winter,,Express,Yes,37,Venmo,Fortnightly
14,65.0,Male,,,M,Spring,4.7,Express,Yes,31,PayPal,Weekly
15,64.0,Male,Outerwear,53.0,L,Winter,4.7,Free Shipping,Yes,34,Debit Card,Weekly
16,64.0,Male,Clothing,81.0,M,Winter,2.8,Store Pickup,Yes,8,PayPal,Monthly
17,25.0,Male,Accessories,36.0,S,Spring,,Next Day Air,Yes,44,Debit Card,Bi-Weekly
18,,Male,Clothing,,XL,Winter,,2-Day Shipping,Yes,36,Venmo,Quarterly
19,52.0,Male,Clothing,48.0,S,Summer,,Free Shipping,Yes,17,Cash,Weekly
20,66.0,,Clothing,90.0,M,Summer,3.3,Standard,Yes,46,Debit Card,Bi-Weekly
21,21.0,,Clothing,51.0,M,Winter,2.8,Express,Yes,50,Cash,Every 3 Months
22,31.0,Male,Clothing,,M,Winter,4.1,Store Pickup,Yes,22,Debit Card,Quarterly
23,56.0,Male,Clothing,37.0,M,Summer,3.2,Store Pickup,Yes,32,Debit Card,Annually
24,31.0,Male,Clothing,88.0,XL,Winter,4.4,Express,Yes,40,Credit Card,
25,18.0,Male,,22.0,M,Fall,2.9,Store Pickup,Yes,16,Debit Card,
26,18.0,,Clothing,25.0,M,Summer,3.6,Express,Yes,14,PayPal,Annually
27,38.0,,Accessories,20.0,M,Spring,3.6,Next Day Air,Yes,13,Credit Card,Annually
28,56.0,Male,Clothing,56.0,L,Summer,5.0,Next Day Air,Yes,7,Bank Transfer,Every 3 Months
29,54.0,Male,Accessories,94.0,M,Fall,,Free Shipping,Yes,41,PayPal,Every 3 Months
30,31.0,Male,Clothing,,S,Fall,4.1,Store Pickup,Yes,14,Credit Card,Weekly
31,57.0,Male,Accessories,31.0,L,Winter,4.7,Standard,Yes,16,Credit Card,Monthly
32,,Male,Clothing,79.0,L,Winter,4.7,Store Pickup,Yes,45,Venmo,Monthly
33,36.0,Male,Outerwear,67.0,M,Summer,4.9,Free Shipping,Yes,37,Venmo,Annually
34,54.0,,Clothing,38.0,L,Summer,3.3,Store Pickup,Yes,45,Cash,Quarterly
35,36.0,Male,Clothing,91.0,L,Spring,,2-Day Shipping,Yes,38,PayPal,Quarterly
36,54.0,Male,Clothing,33.0,M,Summer,4.0,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly
37,35.0,Male,Clothing,69.0,M,Winter,4.6,Free Shipping,Yes,44,PayPal,Fortnightly
38,35.0,Male,,45.0,S,Summer,2.8,Store Pickup,Yes,10,PayPal,Weekly
39,29.0,Male,Clothing,37.0,M,Winter,,2-Day Shipping,Yes,44,Venmo,Every 3 Months
40,70.0,,Clothing,60.0,S,Summer,4.2,Express,Yes,18,Credit Card,Monthly
41,69.0,Male,Accessories,,L,Winter,,Next Day Air,Yes,31,Debit Card,Quarterly
42,67.0,Male,Accessories,39.0,M,Spring,4.5,Standard,Yes,40,Venmo,Annually
43,20.0,Male,Outerwear,100.0,M,Spring,4.1,Free Shipping,Yes,15,PayPal,Annually
44,25.0,Male,Accessories,69.0,L,Fall,3.7,Store Pickup,Yes,19,PayPal,Fortnightly
45,39.0,Male,Accessories,53.0,S,Summer,4.6,Free Shipping,Yes,45,PayPal,
46,50.0,,Clothing,21.0,XL,Fall,2.9,2-Day Shipping,Yes,25,PayPal,Annually
47,57.0,Male,Clothing,43.0,L,Summer,2.9,Store Pickup,Yes,45,Cash,Quarterly
48,55.0,Male,Accessories,54.0,M,Winter,4.5,Free Shipping,Yes,36,Cash,Weekly
49,42.0,Male,Clothing,55.0,M,Summer,2.7,Store Pickup,Yes,38,Cash,Monthly
50,68.0,Male,,,S,Spring,4.6,Next Day Air,Yes,34,Debit Card,
51,49.0,Male,Clothing,28.0,M,Spring,3.7,Store Pickup,Yes,39,Debit Card,Bi-Weekly
52,59.0,Male,,59.0,XL,Winter,,2-Day Shipping,Yes,7,Credit Card,Quarterly
53,42.0,Male,Clothing,20.0,M,Summer,2.6,Free Shipping,Yes,26,Credit Card,Weekly
54,29.0,Male,Clothing,24.0,S,Winter,3.9,Next Day Air,Yes,35,Credit Card,Weekly
55,47.0,Male,Outerwear,,M,Summer,4.2,Next Day Air,Yes,35,Debit Card,Bi-Weekly
56,,Male,Outerwear,28.0,M,Winter,3.0,2-Day Shipping,Yes,49,Credit Card,Annually
57,,,Accessories,73.0,XL,Summer,,Store Pickup,Yes,46,Credit Card,Weekly
58,21.0,Male,Outerwear,64.0,M,Summer,4.4,Store Pickup,Yes,17,Debit Card,Fortnightly
59,69.0,Male,Clothing,54.0,M,Summer,4.2,Free Shipping,Yes,29,Venmo,Monthly
60,63.0,Male,,79.0,L,Spring,4.6,Standard,Yes,4,Debit Card,Weekly
61,50.0,Male,Clothing,,L,Summer,4.0,Express,Yes,17,Cash,Weekly
62,55.0,Male,Accessories,68.0,M,Winter,,Store Pickup,Yes,21,Credit Card,Every 3 Months
63,30.0,Male,Footwear,21.0,S,Spring,3.8,Free Shipping,Yes,31,Credit Card,Fortnightly
64,33.0,,Accessories,79.0,L,Winter,2.7,2-Day Shipping,Yes,43,Credit Card,Weekly
65,65.0,Male,Footwear,83.0,S,Fall,4.8,Standard,Yes,18,Debit Card,Fortnightly
66,,Male,Accessories,36.0,M,Spring,4.8,2-Day Shipping,Yes,44,Venmo,Every 3 Months
67,31.0,Male,Clothing,94.0,S,Winter,4.7,2-Day Shipping,Yes,3,Venmo,Every 3 Months
68,,Male,Outerwear,33.0,L,Winter,,Store Pickup,Yes,49,Debit Card,Monthly
69,57.0,Male,Accessories,46.0,L,Summer,3.9,Next Day Air,Yes,21,Cash,Every 3 Months
70,,Male,Accessories,70.0,S,Summer,4.4,Express,Yes,5,Cash,Weekly
71,,,Accessories,29.0,M,Fall,,Express,Yes,32,Debit Card,Every 3 Months
72,36.0,Male,Clothing,,L,Summer,,Express,Yes,34,Bank Transfer,Annually
73,18.0,Male,,,M,Winter,2.9,Store Pickup,Yes,21,Bank Transfer,Every 3 Months
74,48.0,Male,Clothing,85.0,M,Spring,2.7,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly
75,,Male,Accessories,58.0,L,Spring,,Express,Yes,3,Cash,Monthly
76,64.0,Male,Accessories,85.0,M,Summer,2.7,Free Shipping,Yes,21,Credit Card,Annually
77,50.0,Male,Accessories,43.0,S,Summer,4.2,Free Shipping,Yes,32,Venmo,Monthly
78,22.0,Male,Clothing,53.0,L,Summer,3.3,Next Day Air,Yes,36,Debit Card,Fortnightly
79,50.0,Male,Clothing,91.0,M,Spring,4.7,Free Shipping,Yes,50,Venmo,Fortnightly
80,,Male,,96.0,M,Winter,2.6,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months
81,19.0,Male,Footwear,72.0,XL,Summer,,Store Pickup,Yes,24,Credit Card,
82,,Male,Footwear,96.0,L,Summer,2.6,Express,Yes,36,Credit Card,Every 3 Months
83,,Male,Clothing,28.0,S,Spring,4.0,2-Day Shipping,Yes,21,Credit Card,Every 3 Months
84,36.0,Male,Clothing,40.0,M,Summer,4.1,Standard,Yes,34,Bank Transfer,Weekly
85,,Male,Outerwear,,S,Spring,4.4,Standard,Yes,42,Bank Transfer,Every 3 Months
86,,,Accessories,95.0,M,Winter,4.5,Next Day Air,Yes,2,Debit Card,Bi-Weekly
87,,Male,Clothing,41.0,L,Spring,3.7,2-Day Shipping,Yes,47,Cash,Bi-Weekly
88,52.0,Male,Footwear,53.0,M,Fall,3.7,2-Day Shipping,Yes,44,Debit Card,Fortnightly
89,33.0,Male,Clothing,,M,Fall,3.5,Free Shipping,Yes,35,Credit Card,Monthly
90,,,Outerwear,83.0,XL,Fall,3.6,Next Day Air,Yes,15,Cash,Quarterly
91,,Male,Accessories,48.0,L,Summer,2.9,Express,Yes,29,Credit Card,Monthly
92,44.0,Male,Accessories,99.0,S,Winter,4.6,Standard,Yes,18,Credit Card,Every 3 Months
93,61.0,,Outerwear,87.0,M,Winter,4.4,2-Day Shipping,Yes,13,Venmo,Every 3 Months
94,37.0,Male,Clothing,62.0,M,Fall,4.5,Standard,Yes,46,Credit Card,Weekly
95,58.0,Male,Clothing,76.0,S,Spring,,Free Shipping,Yes,28,Credit Card,Weekly
96,37.0,Male,Footwear,100.0,L,Fall,3.8,Free Shipping,Yes,48,PayPal,Monthly
97,32.0,Male,Accessories,73.0,S,Spring,,Express,Yes,43,Venmo,Every 3 Months
98,,Male,Footwear,,M,Winter,4.8,Store Pickup,Yes,37,Cash,Annually
99,20.0,Male,Clothing,67.0,XL,Spring,2.6,Next Day Air,Yes,20,Bank Transfer,Annually
100,26.0,Male,Clothing,40.0,XL,Summer,3.7,Express,Yes,33,Debit Card,
101,62.0,Male,,98.0,M,Fall,2.7,Express,Yes,31,Cash,Fortnightly
102,,Male,Outerwear,85.0,XL,Spring,4.6,Express,Yes,50,Credit Card,Bi-Weekly
103,51.0,Male,Clothing,67.0,L,Winter,4.8,Next Day Air,Yes,35,Credit Card,Quarterly
104,54.0,Male,Footwear,89.0,L,Winter,,Next Day Air,Yes,22,Venmo,Bi-Weekly
105,55.0,,Accessories,24.0,L,Spring,4.4,2-Day Shipping,Yes,1,PayPal,Monthly
106,69.0,Male,Accessories,,M,Fall,,Next Day Air,Yes,4,Bank Transfer,Annually
107,64.0,Male,Outerwear,35.0,L,Summer,3.7,Standard,Yes,31,Credit Card,Monthly
108,28.0,,,,L,Winter,3.1,Next Day Air,Yes,46,PayPal,Fortnightly
109,70.0,Male,Clothing,79.0,L,Spring,3.4,Next Day Air,Yes,32,Bank Transfer,
110,58.0,,Clothing,,M,Spring,2.6,Next Day Air,Yes,43,Bank Transfer,Fortnightly
111,56.0,Male,Accessories,26.0,M,Summer,4.0,Standard,Yes,26,Venmo,Fortnightly
112,26.0,Male,Accessories,75.0,L,Summer,5.0,Free Shipping,Yes,9,Credit Card,Annually
113,,,Accessories,,M,Spring,4.3,Free Shipping,Yes,28,PayPal,
114,44.0,Male,Accessories,,L,Winter,3.1,Next Day Air,Yes,20,PayPal,Quarterly
115,70.0,Male,Outerwear,95.0,S,Summer,3.7,Store Pickup,Yes,9,Cash,Weekly
116,53.0,Male,Clothing,94.0,M,Spring,3.8,Standard,Yes,48,Debit Card,Every 3 Months
117,,,Footwear,86.0,S,Spring,,Free Shipping,Yes,12,Venmo,Annually
118,50.0,Male,Footwear,32.0,L,Summer,,Express,Yes,29,Cash,Fortnightly
119,50.0,Male,Clothing,45.0,L,Fall,4.8,2-Day Shipping,Yes,27,Cash,Bi-Weekly
120,,Male,Outerwear,76.0,M,Fall,4.3,Express,Yes,44,Cash,Annually
121,64.0,,Accessories,,L,Summer,,Express,Yes,32,Bank Transfer,Annually
122,19.0,Male,Clothing,72.0,M,Winter,,Standard,Yes,11,Cash,Fortnightly
123,,Male,Accessories,40.0,L,Spring,,2-Day Shipping,Yes,44,Cash,Fortnightly
124,57.0,Male,Clothing,89.0,L,Fall,3.1,Free Shipping,Yes,46,Cash,Weekly
125,44.0,Male,Clothing,86.0,M,Spring,,Next Day Air,Yes,50,PayPal,Annually
126,49.0,Male,Clothing,,M,Winter,,Next Day Air,Yes,45,Venmo,Every 3 Months
127,43.0,Male,Clothing,36.0,L,Spring,3.9,Store Pickup,Yes,48,Cash,Every 3 Months
128,,Male,Clothing,89.0,M,Winter,,Next Day Air,Yes,26,Credit Card,Weekly
129,20.0,Male,,32.0,M,Spring,4.7,Standard,Yes,21,Credit Card,Fortnightly
130,24.0,Male,Clothing,67.0,XL,Summer,4.2,2-Day Shipping,Yes,49,PayPal,Bi-Weekly
131,44.0,Male,Accessories,39.0,L,Fall,3.7,Next Day Air,Yes,13,PayPal,Fortnightly
132,28.0,Male,,29.0,L,Summer,3.9,Standard,Yes,46,Credit Card,Weekly
133,30.0,Male,,58.0,M,Fall,4.7,2-Day Shipping,Yes,42,PayPal,Weekly
134,,Male,,65.0,M,Winter,2.5,Next Day Air,Yes,25,Venmo,Annually
