Customer ID,Age,Gender,Category,Purchase Amount (USD),Size,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Loyal (gdnp),High_Spender,Positive_Review
1,69,Male,Clothing,53,L,Winter,3,Express,Yes,14,Venmo,Fortnightly,Yes,Low spender,Negative Review
2,19,Male,Clothing,64,L,Winter,3,Express,Yes,2,Cash,Fortnightly,Yes,High spender,Negative Review
3,50,Unknown_Gender,Clothing,73,S,Spring,3,Free Shipping,Yes,23,Credit Card,Weekly,Yes,High spender,Negative Review
4,21,Male,Footwear,90,M,Spring,3,Next Day Air,Yes,49,PayPal,Weekly,Yes,High spender,Negative Review
5,45,Male,Clothing,49,M,Spring,3,Free Shipping,Yes,31,PayPal,Annually,No,Low spender,Negative Review
6,46,Male,Footwear,20,M,Summer,3,Standard,Yes,14,Venmo,Weekly,Yes,Low spender,Negative Review
7,63,Male,Clothing,85,M,Fall,3,Free Shipping,Yes,49,Cash,Quarterly,No,High spender,Negative Review
8,27,Male,Clothing,36,L,Winter,3,Free Shipping,Yes,19,Credit Card,Weekly,Yes,Low spender,Negative Review
9,69,Male,Outerwear,36,L,Summer,2,Express,Yes,8,Venmo,Annually,No,Low spender,Negative Review
10,57,Male,Accessories,36,M,Spring,4,2-Day Shipping,Yes,4,Cash,Quarterly,No,Low spender,Positive Review
11,69,Male,Footwear,34,L,Fall,4,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,No,Low spender,Positive Review
12,30,Male,Clothing,68,S,Winter,4,Store Pickup,Yes,10,Bank Transfer,Fortnightly,Yes,High spender,Positive Review
13,61,Male,Outerwear,72,M,Winter,3,Express,Yes,37,Venmo,Fortnightly,Yes,High spender,Negative Review
14,65,Male,Other,36,M,Spring,4,Express,Yes,31,PayPal,Weekly,Yes,Low spender,Positive Review
15,64,Male,Outerwear,53,L,Winter,4,Free Shipping,Yes,34,Debit Card,Weekly,Yes,Low spender,Positive Review
16,64,Male,Clothing,81,M,Winter,2,Store Pickup,Yes,8,PayPal,Monthly,No,High spender,Negative Review
17,25,Male,Accessories,36,S,Spring,3,Next Day Air,Yes,44,Debit Card,Bi-Weekly,No,Low spender,Negative Review
18,69,Male,Clothing,36,XL,Winter,3,2-Day Shipping,Yes,36,Venmo,Quarterly,No,Low spender,Negative Review
19,52,Male,Clothing,48,S,Summer,3,Free Shipping,Yes,17,Cash,Weekly,Yes,Low spender,Negative Review
20,66,Unknown_Gender,Clothing,90,M,Summer,3,Standard,Yes,46,Debit Card,Bi-Weekly,No,High spender,Negative Review
21,21,Unknown_Gender,Clothing,51,M,Winter,2,Express,Yes,50,Cash,Every 3 Months,No,Low spender,Negative Review
22,31,Male,Clothing,36,M,Winter,4,Store Pickup,Yes,22,Debit Card,Quarterly,No,Low spender,Positive Review
23,56,Male,Clothing,37,M,Summer,3,Store Pickup,Yes,32,Debit Card,Annually,No,Low spender,Negative Review
24,31,Male,Clothing,88,XL,Winter,4,Express,Yes,40,Credit Card,Unknown_Frequency,Yes,High spender,Positive Review
25,18,Male,Other,22,M,Fall,2,Store Pickup,Yes,16,Debit Card,Unknown_Frequency,Yes,Low spender,Negative Review
26,18,Unknown_Gender,Clothing,25,M,Summer,3,Express,Yes,14,PayPal,Annually,No,Low spender,Negative Review
27,38,Unknown_Gender,Accessories,20,M,Spring,3,Next Day Air,Yes,13,Credit Card,Annually,No,Low spender,Negative Review
28,56,Male,Clothing,56,L,Summer,5,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,No,High spender,Positive Review
29,54,Male,Accessories,94,M,Fall,3,Free Shipping,Yes,41,PayPal,Every 3 Months,No,High spender,Negative Review
30,31,Male,Clothing,36,S,Fall,4,Store Pickup,Yes,14,Credit Card,Weekly,Yes,Low spender,Positive Review
31,57,Male,Accessories,31,L,Winter,4,Standard,Yes,16,Credit Card,Monthly,No,Low spender,Positive Review
32,69,Male,Clothing,79,L,Winter,4,Store Pickup,Yes,45,Venmo,Monthly,No,High spender,Positive Review
